title,artist,service,source_id
Spore Spreader,BENZA,bandcamp,collection:track:2365071502
Sunken in Robus,Vilchezz,bandcamp,collection:track:279522575
Bidb (Original Mix),TWO/THREE,bandcamp,collection:track:4114614095
Babylon 47,Blame The Mono,bandcamp,collection:track:1275049715
Broken Pedal,Aidan Rudd,bandcamp,collection:track:2942541316
Stay With Me,X CLUB.,bandcamp,collection:track:2930186903
Vilchezz - Home Run,Various Artists,bandcamp,collection:track:2285079353
Add Some More,"HUJUS, JSPRV35, Beau Didier &amp; Genex",bandcamp,collection:track:2501104123
ADHD (Original Mix),"Fran LF, FENIM0RE",bandcamp,collection:track:3796009276
Sangre Austral,"West Code, Pakard",bandcamp,collection:track:4133443129
New School Theory,Trudge,bandcamp,collection:track:1643968197
I Feel,Trudge,bandcamp,collection:track:3319358159
WANT THIS (West Code Remix) [LBRNM31],Pōnky,bandcamp,collection:track:3325477847
Shy Boy [LBRNM38],VOICEX,bandcamp,collection:track:4092438124
Bipolar,FRANZISKANER CLUB &amp; null respekt,bandcamp,collection:track:1427502150
Kaltblume - Bloodsucker,Compilation,bandcamp,collection:track:3369399855
Alec Dienaar &amp; STIPP - B2 (The Chronics Toolbox Remix),Alec Dienaar &amp; STIPP,bandcamp,collection:track:1711057099
When You Touch Me With Your Eyes,"Isaiah, Arthur Robert, The Chronics, Volpe, Vromo",bandcamp,collection:track:3902585925
Hips Don&#39;t Lie ( Future Baile Edit ),SANTO,bandcamp,collection:track:4070364286
This Generation (Pass The Dutchie To Roo Bootleg),Roo Honeychild,bandcamp,collection:track:2358733033
Mikael is Love - Wild &amp; Free [EP],Lump Records,bandcamp,collection:album:1740263002
Only Came To Say Goodbye,Ryan J Raffa &amp; Sam Prekop,bandcamp,collection:album:3801302448
It Never Lasts Long Enough,ring noord,bandcamp,collection:album:2392158848
chatter amongst friends,euuan,bandcamp,collection:track:19925366
The Fuzzy Lounge Sessions (Album),Sandman Theory,bandcamp,collection:album:1804304297
Blaupunkt,Sascha Funke,bandcamp,collection:track:1361931235
"Tonight (Oga70_, cva30_)","cva beatz, Ogasawara",bandcamp,collection:track:3332059836
Symbiosis,ANNĒ &amp; Sera J,bandcamp,collection:album:2583188313
New For U,Andrés,bandcamp,collection:track:3917030121
Aerial / Kontusion,ring noord,bandcamp,collection:album:3156275822
Untergrund Platin,Heliocopta &amp; Figub Brazlevic,bandcamp,collection:album:1147706855
FTW001: GROOVE DELIVERY,ROOMPUNX,bandcamp,collection:album:2549115357
